12,デラロサ,1.80,6,0,0,0,0,0,0,1,1,4,-,5,5,1,3,5.40,1,1,1,0,1,1,.278,3.00,1.20
13,戸郷 翔征,2.78,4,4,0,0,3,3,1,0,0,0,.750,22.2,15,3,19,7.54,10,1,1,0,7,7,.195,1.90,1.10
15,澤村 拓一,6.30,12,0,0,0,0,1,1,1,2,0,.500,10,10,0,8,7.20,6,1,0,0,7,7,.278,1.33,1.60
17,大竹 寛,5.40,3,0,0,0,0,1,0,0,1,0,1.000,3.1,4,0,1,2.70,2,0,0,0,2,2,.333,0.50,1.80
18,菅野 智之,1.77,5,5,2,2,3,4,0,0,0,0,1.000,35.2,21,2,39,9.84,7,2,0,0,7,7,.164,5.57,0.79
20,サンチェス,2.67,5,5,0,0,2,3,2,0,0,0,.600,27,22,2,21,7.00,12,0,0,0,10,8,.218,1.75,1.26
21,岩隈 久志,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,野上 亮磨,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,髙橋 優貴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,田口 麗斗,2.08,3,3,0,0,0,1,0,0,0,0,1.000,13,11,1,9,6.23,3,0,1,0,3,3,.224,3.00,1.08
30,鍵谷 陽平,7.04,11,0,0,0,0,0,0,4,4,0,-,7.2,7,1,6,7.04,2,0,0,0,6,6,.259,3.00,1.17
31,畠 世周,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,堀田 賢慎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,太田 龍,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,桜井 俊貴,3.42,4,4,0,0,2,1,1,0,0,0,.500,23.2,18,4,18,6.85,7,2,0,0,9,9,.207,2.57,1.06
40,古川 侑利,4.50,1,0,0,0,0,0,0,0,0,0,-,2,4,1,2,9.00,0,0,0,0,1,1,.444,-,2.00
41,中川 皓太,0.90,10,0,0,0,0,0,0,4,4,2,-,10,7,0,6,5.40,4,0,0,0,1,1,.194,1.50,1.10
42,メルセデス,3.80,4,4,0,0,2,1,2,0,0,0,.333,21.1,23,5,19,8.02,6,1,0,0,9,9,.271,3.17,1.36
45,今村 信貴,1.80,1,1,0,0,0,1,0,0,0,0,1.000,5,6,0,2,3.60,1,0,0,0,1,1,.316,2.00,1.40
46,鍬原 拓也,6.43,5,0,0,0,0,1,0,0,1,0,1.000,7,6,0,6,7.71,5,1,0,0,5,5,.231,1.20,1.57
47,藤岡 貴裕,2.35,10,0,0,0,0,0,0,0,0,0,-,7.2,6,1,5,5.87,6,1,1,0,2,2,.231,0.83,1.57
49,ビエイラ,3.86,5,0,0,0,0,0,0,1,1,0,-,4.2,9,1,4,7.71,4,1,0,0,2,2,.429,1.00,2.79
50,戸根 千明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,高梨 雄平,0.00,1,0,0,0,0,0,0,0,0,0,-,1.1,0,0,3,20.25,0,0,0,0,0,0,.000,-,0.00
54,直江 大輔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,高木 京介,3.48,15,0,0,0,0,0,1,3,3,1,.000,10.1,9,1,11,9.58,1,0,1,0,4,4,.231,11.00,0.97
58,宮國 椋丞,3.72,9,0,0,0,0,0,0,0,0,0,-,9.2,9,1,7,6.52,2,0,0,0,4,4,.243,3.50,1.14
62,横川 凱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,田原 誠次,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,大江 竜聖,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,井上 温大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,沼田 翔平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,堀岡 隼人,0.00,1,0,0,0,0,0,0,0,0,0,-,2,1,0,2,9.00,0,0,0,0,0,0,.167,-,0.50
96,ディプラン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
003,山川 和大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
011,髙井 俊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
012,平井 快青,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
013,谷岡 竜平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
015,巽 大介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
018,田中 豊樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
019,田中 優大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
020,橋本 篤郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
023,與那原 大剛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
025,ラモス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
